dx,d1,d2,d3,d4,nef,weighted_mean_hue
nv,0.8220663265306123,0.3462213010204081,0.1792091836734693,0.7315848214285714,1.081071371117979,1.0753318262278189
nv,0.752311862244898,0.2243303571428571,0.114078443877551,0.873405612244898,1.0629343216561622,1.1794113954813352
nv,0.7838010204081632,0.1802455357142857,0.2279974489795918,0.7150031887755102,1.0643771962949362,0.7888309434249475
nv,0.7384406887755102,0.5265465561224489,0.3360969387755102,0.5577168367346939,1.0773088179558952,1.1580259860367372
nv,0.7957589285714286,0.2841996173469387,0.2631536989795918,0.8029336734693877,1.037576324378999,0.6860853042659854
nv,0.6487563775510204,0.3597735969387755,0.2498405612244898,0.5699139030612245,0.959055197900142,0.7304590919507672
nv,0.8065210459183674,0.2528698979591837,0.1965880102040816,0.7612404336734694,1.0114611039569794,0.6161361565618092
nv,0.7806122448979592,0.1591996173469387,0.2207429846938775,0.7517538265306123,0.9710980393031556,3.699586546115553
nv,0.5455197704081632,0.5415338010204082,0.2869897959183674,0.3158482142857143,0.986815380528294,1.753201725031577
nv,0.2934470663265306,0.2294323979591837,0.1808832908163265,0.1637436224489795,0.9718225649707666,1.094453037709016
nv,0.1370376275510204,0.8917410714285714,0.7290338010204082,0.2533482142857143,1.144728483842645,0.7474693190728325
nv,0.4463488520408163,0.2641900510204081,0.3848852040816326,0.5090082908163265,0.9569297364219744,1.0753664376710506
nv,0.6722735969387755,0.2858737244897959,0.4095982142857143,0.6906090561224489,1.0276457144335538,0.9165107711899096
nv,0.5069355867346939,0.4014668367346938,0.2676977040816326,0.4407684948979591,0.9794914702283196,1.102479548326637
nv,0.5216836734693877,0.3154496173469387,0.3374521683673469,0.5573979591836735,0.9945975286597292,1.0661579552091325
nv,0.7110969387755102,0.2907366071428571,0.1882174744897959,0.7155612244897959,1.000680507104191,0.6077015473751148
nv,0.4154177295918367,0.3548309948979591,0.2668207908163265,0.2698501275510204,0.9731486023236544,0.7925202796370373
nv,0.6363201530612245,0.2599649234693877,0.3557079081632653,0.6662149234693877,0.9966188914024438,0.7672446149530385
nv,0.8411989795918368,0.1348852040816326,0.2224968112244898,0.7902582908163265,1.025001106983792,0.7516635112729032
nv,0.4950573979591837,0.4449936224489796,0.2987882653061224,0.3770727040816326,1.0002352058892556,0.8660806064400776
nv,0.7676977040816326,0.2555803571428571,0.2158003826530612,0.7298309948979592,1.040029906010025,0.7195831897194457
nv,0.8643176020408163,0.1778539540816326,0.1512276785714285,0.7345344387755102,1.0655173316900022,0.8177430646542789
nv,0.7505580357142857,0.2597257653061224,0.298469387755102,0.6257174744897959,1.016773209661153,0.6602436049186758
nv,0.6368781887755102,0.2684948979591837,0.2850765306122449,0.5879304846938775,0.9803894618246336,0.6564941125460936
nv,0.6253985969387755,0.239078443877551,0.2562181122448979,0.6139987244897959,0.9705688869941852,1.3967931587386424
nv,0.2927295918367347,0.6906090561224489,0.6703603316326531,0.3193558673469387,1.1513092888561955,0.8460295658678778
nv,0.3988360969387755,0.4256218112244898,0.6778539540816326,0.2465720663265306,1.1152199644633214,1.3098143292493614
nv,0.3566645408163265,0.4871651785714285,0.2757493622448979,0.3491709183673469,0.9618736328898664,1.151567344126765
nv,0.4382174744897959,0.3004623724489796,0.3761160714285714,0.4561543367346938,0.9944043828864756,0.8029412876772027
nv,0.6678890306122449,0.3457429846938775,0.1444515306122449,0.6576052295918368,0.9786997321854592,1.3580059270188114
nv,0.8257334183673469,0.2278380102040816,0.1424585459183673,0.7907366071428571,1.0143899728104673,0.7181975179110935
nv,0.7949617346938775,0.2829241071428571,0.28515625,0.6933992346938775,1.0859532813320982,1.225788189740299
nv,0.2000956632653061,0.5699139030612245,0.5995695153061225,0.2611607142857143,0.9879922302360248,1.2341971237092888
nv,0.3293207908163265,0.6330516581632653,0.6364795918367347,0.3011798469387755,0.9765125732675812,1.5441401275544084
nv,0.7161192602040817,0.3380102040816326,0.3021364795918367,0.7873883928571429,1.0658621689255467,1.1049200626388431
nv,0.517219387755102,0.4454719387755102,0.5677614795918368,0.1737882653061224,0.99260298261663,0.92835978705878
nv,0.5754145408163265,0.4500956632653061,0.5371492346938775,0.2566964285714285,1.0071370401240545,0.6894778918341766
nv,0.5529336734693877,0.2886639030612244,0.3700573979591837,0.6397480867346939,0.980032269799123,0.6801916809485011
nv,0.6203762755102041,0.4470663265306122,0.3017378826530612,0.4879623724489796,0.9991021443731756,1.0230504709078312
nv,0.4984056122448979,0.6091358418367347,0.6214923469387755,0.5072544642857143,1.0150533088748073,0.9054040912220228
nv,0.8174426020408163,0.3175223214285714,0.1411830357142857,0.7294323979591837,1.103548781703815,0.6352805052922698
nv,0.5301339285714286,0.064891581632653,0.126594387755102,0.5428890306122449,1.1729494467391506,1.5081381381381382
nv,0.783561862244898,0.3436702806122449,0.5679209183673469,0.6285076530612245,1.126574634091347,0.7334774638509154
nv,0.5066964285714286,0.2158801020408163,0.1572863520408163,0.6391103316326531,0.9908194183192254,0.6357902272854111
nv,0.6200573979591837,0.276546556122449,0.3436702806122449,0.7356505102040817,1.010178368470496,0.9765922225196024
nv,0.4949776785714285,0.4296077806122449,0.3207110969387755,0.4740911989795918,0.9870863836554452,0.6761441673714502
nv,0.4599808673469387,0.4284917091836734,0.3396045918367347,0.5467952806122449,0.9804873775824544,0.7807071232084769
